size	Count
1783	1
1582	5
262	3
1883	5
577	12
1634	4
1777	6
1792	6
1512	3
183	6
894	4
1779	11
1606	4
1700	68
2603	1
601	5
2730	1
643	4
1248	13
1191	9
903	8
1141	7
1766	7
2366	1
2901	1
2130	1
2043	2
2059	2
1076	4
1447	1
1335	6
1326	7
1810	35
238	3
1917	2
2192	9
481	10
1790	10
1568	4
1739	4
2493	1
2271	3
1875	3
1407	5
1871	2
321	7
1281	16
1683	5
1645	5
1809	48
1478	2
1313	9
2511	1
1288	9
1715	6
1450	3
1430	4
1603	5
1387	3
1775	6
292	11
1740	6
1574	5
148	2
1932	2
1804	44
2619	1
2465	1
1660	26
339	4
1936	3
1012	11
801	4
1514	5
1422	2
1132	2
1584	4
1431	5
1365	9
1271	8
1829	3
385	5
336	4
1451	2
1462	6
2517	2
497	3
1474	1
1060	6
759	5
2074	2
436	7
1384	4
736	8
1074	5
1071	8
1053	22
1382	12
199	2
1056	4
1846	1
1670	10
617	8
2983	1
1066	5
575	11
858	3
738	4
2228	1
1933	1
1557	3
2101	2
853	3
2126	1
842	26
659	9
846	9
804	5
845	8
836	6
844	12
779	4
2398	2
1085	2
172	1
545	6
747	8
843	11
824	7
832	10
2183	2
835	3
775	8
799	7
820	8
780	3
813	14
377	9
821	7
814	8
787	8
805	8
752	9
791	5
1280	11
1142	6
1157	6
1160	5
984	4
420	6
2260	4
1672	7
392	5
223	4
156	3
159	3
486	3
1493	5
2463	2
1476	3
1970	6
384	5
1613	4
2084	3
1618	4
2693	1
1621	3
559	4
3340	1
1724	6
961	8
1658	5
630	6
1553	2
1961	4
1357	8
1346	10
1585	6
1655	13
1479	3
596	15
1306	5
1956	4
1995	2
2014	3
256	4
1598	4
1034	4
1694	37
214	4
1373	5
593	10
1905	2
1649	8
391	8
1720	3
1707	9
634	4
930	3
895	9
3539	1
1362	10
1852	5
950	8
340	9
1393	2
948	9
1551	4
269	6
726	5
1614	4
2001	2
1913	2
516	4
247	7
285	2
714	5
1113	5
1102	5
1106	11
1103	8
510	5
1269	8
1017	9
1839	1
1597	3
1189	7
1535	5
539	2
674	6
1794	11
650	6
721	4
993	7
233	4
413	4
612	9
946	3
1059	3
1201	3
1219	6
1222	7
1508	7
792	2
769	3
875	6
2207	3
1114	2
2383	1
357	3
680	6
204	4
1077	5
926	8
1080	4
646	3
652	5
1051	10
1009	7
1079	3
318	2
898	9
992	6
1046	7
859	6
869	5
535	4
523	4
244	2
334	1
403	5
881	9
252	2
902	5
899	4
418	8
369	5
178	3
2784	2
1532	6
442	6
225	2
1133	9
892	4
888	3
2595	1
415	11
293	7
807	5
295	8
561	13
2038	1
394	3
564	11
598	11
571	5
1262	21
2212	2
108	1
2111	4
1018	9
111	2
1237	8
426	7
1359	8
621	2
1622	4
2144	5
939	9
883	11
3437	1
615	7
1230	4
3162	1
2117	1
2230	1
2350	2
1162	8
2169	1
2565	1
2002	2
6013	1
2104	2
2402	2
186	4
1164	7
1285	11
2665	1
1082	5
1358	8
2137	1
983	4
1316	6
184	4
1486	2
862	6
731	5
1329	5
419	9
611	6
3019	1
1048	6
613	9
1049	21
187	4
604	5
2720	1
2528	1
1602	4
1729	4
1730	3
1267	54
663	5
