size	Count
895	10
2024	20
2808	7
4067	8
2340	8
3044	15
3817	6
3154	12
2751	7
2668	6
1634	19
3413	17
3059	15
2224	16
1282	9
2058	23
3706	11
1988	12
3650	11
1905	8
4087	7
3416	16
3969	5
7609	6
1933	9
3392	16
3648	7
4225	10
7371	4
4485	9
4499	18
1788	12
2254	18
7618	4
4323	12
2942	9
2732	10
6077	4
2723	9
1297	17
8386	23
1835	6
3131	18
4166	14
181	2
2674	10
4044	5
8501	2
8389	9
1623	16
4101	8
5122	5
1561	14
994	8
7270	5
2924	10
873	11
2521	18
656	6
1834	15
29210	1
2884	124
6191	6
3447	103
1171	9
4048	8
3623	6
275	7
4762	4
4851	2
5616	6
4512	18
2629	9
968	5
3386	9
2811	3
3963	7
2082	7
8721	1
1854	4
624	3
2506	16
685	12
4633	4
1844	7
2398	13
2533	128
2646	9
2172	37
308	2
2828	10
1795	7
8077	2
343	2
8348	5
7235	2
4681	5
4507	20
2468	31
3345	12
4380	6
2395	8
4188	10
2124	10
1803	11
4524	9
3250	10
3535	6
1493	10
3685	15
2079	11
492	8
4530	25
5039	5
4438	9
1581	23
1639	16
4377	4
1636	25
240	6
7615	1
4006	7
4182	12
2387	11
3192	14
1436	14
3776	5
2059	25
4503	13
4139	7
1612	9
1512	12
1555	15
5190	6
4508	22
2909	9
750	5
2443	21
2118	11
3220	14
1271	13
4150	9
4271	9
4450	6
4189	5
4186	12
1345	18
2310	12
1745	4
396	4
2117	12
1819	10
2369	14
3414	15
2460	14
1174	9
4280	10
1278	18
8628	5
1949	7
5108	3
3172	15
1392	12
3276	7
4056	6
7936	4
2839	8
1582	20
2256	23
4950	2
1940	6
1605	14
3443	31
2757	12
4318	9
2666	7
3032	12
684	15
432	9
3801	6
252	2
2412	13
12765	2
2270	11
3303	11
2304	4
1381	12
1330	10
1815	8
4511	18
2403	12
3115	11
1329	19
1472	16
4216	7
2241	12
3083	16
1857	9
6782	5
2450	14
4149	12
3123	13
3343	12
2306	8
2872	9
1184	8
351	4
10736	1
3638	7
4468	10
4109	8
4427	11
8991	4
7557	2
1878	9
849	6
5932	3
4447	11
1643	22
5149	2
1262	11
5273	4
2141	15
1586	20
3390	11
8413	2
2097	11
1568	16
4352	7
6835	3
2767	8
3278	8
3847	7
2008	13
2471	26
7249	4
3090	14
7547	4
4538	142
3277	11
3162	15
2155	22
1778	9
695	6
3139	7
7641	4
4369	5
1770	8
4883	8
3234	12
2236	16
3093	16
3034	16
2279	14
1240	12
4181	12
1192	7
8041	5
7951	4
3088	11
3133	19
3147	13
727	9
1273	17
3125	12
2612	5
3258	10
1828	12
1047	9
1375	13
4141	5
364	3
2722	9
5107	5
3653	7
3376	18
1040	7
1369	23
2167	20
4568	9
4138	10
3340	10
3068	10
5773	2
2385	13
1277	19
1313	14
6091	4
3024	8
9195	2
2323	9
3184	8
3182	8
1703	13
2620	10
3231	7
4268	7
4405	9
8002	3
3091	19
3296	5
6926	1
1323	16
1904	17
2784	9
1327	24
3291	11
3004	7
8464	5
8025	3
1328	21
2139	14
7382	2
4183	13
1423	10
2240	9
2467	16
4386	16
4821	3
1310	14
4531	15
3051	15
4131	11
2197	10
966	6
8356	5
564	5
3636	9
1307	15
2827	13
1066	7
4068	4
8026	3
2390	15
3435	16
1754	10
2527	44
4081	7
2500	21
768	9
1020	6
4596	5
8088	3
4521	11
7366	2
2907	8
1723	18
1338	18
4510	19
2456	14
499	7
8353	4
2060	16
7969	6
3824	6
3751	7
2375	20
1428	11
261	3
1621	20
3896	7
8109	4
900	7
2764	10
5006	5
4401	11
1997	7
6671	3
4454	23
9199	2
2081	10
2367	15
8213	2
7959	6
5059	3
3657	5
1695	18
2271	10
3692	72
3106	12
2710	9
3214	12
3109	8
1798	3
4527	12
3070	11
2121	16
3132	15
1275	14
3089	12
4110	8
2158	20
3357	14
4346	5
899	8
2273	15
6218	2
412	6
1336	13
3111	18
1914	8
547	10
1970	13
3391	15
536	3
4133	8
4579	1
583	3
4509	19
2335	16
826	13
932	7
847	8
2747	9
4983	2
103	3
8394	3
1959	8
2915	10
2112	12
3679	16
3138	7
4254	2
648	5
2437	22
1742	12
1054	8
1642	31
2195	10
5508	2
3362	18
4327	7
4349	3
2478	12
2334	16
2746	9
2739	11
4522	11
2571	9
3690	49
3631	5
2193	14
2439	17
2867	8
1501	14
3534	5
2037	166
7888	8
8352	6
3062	15
4457	22
2457	13
3223	13
3006	12
7865	1
3240	11
3395	13
3015	12
3704	15
4107	8
991	8
4306	6
639	6
4336	8
1505	10
8293	2
3016	10
402	1
2490	12
2592	9
2321	13
8388	12
7449	3
3734	5
8328	5
1977	8
11608	1
8052	3
9615	3
159	4
4430	15
286	6
2122	9
8168	2
8108	5
3490	7
2862	10
6993	3
4475	8
1500	15
3950	6
7154	5
3788	4
4237	11
780	10
3057	11
1438	12
7335	7
3743	7
2288	7
1889	12
1981	11
7684	1
10225	1
4052	10
2448	11
2237	12
3036	14
2140	12
2363	12
1928	16
1517	14
2284	13
929	9
2608	12
1816	13
1100	17
2484	17
3324	9
7973	8
7445	1
2379	15
2941	9
3708	11
3029	8
3308	6
3426	29
2368	13
3959	5
3022	8
6844	4
2823	7
2190	12
3398	22
2911	7
969	10
3061	16
1316	16
1526	10
2718	10
1624	21
1364	16
2740	11
9065	1
784	8
2814	6
1105	9
3911	6
2807	12
341	4
8602	1
1752	11
2341	13
1302	15
1322	17
7860	3
3762	4
4222	4
5364	3
2221	16
1990	15
3764	5
1430	10
7629	1
8236	3
4147	13
3012	9
4316	4
622	6
1266	15
2238	14
5963	2
3113	13
2694	12
7844	2
8125	4
2711	9
3856	4
3997	5
8343	7
3052	12
1348	20
2346	4
3252	2
2057	20
1873	8
4230	10
2481	18
2976	7
2208	9
2143	15
1270	11
2727	6
2730	5
2129	16
1419	12
7556	3
1287	9
2509	12
7263	3
8053	5
2094	9
1498	14
3348	10
1694	15
3286	8
3149	16
1715	12
4171	9
1646	39
3415	18
2488	23
1349	11
2863	16
6200	7
4245	4
209	1
2937	6
4283	7
11695	2
5528	5
1416	11
2025	11
1403	11
3121	16
8059	4
2012	6
3201	12
5541	1
2337	11
5226	4
7027	2
4238	7
5869	4
4196	7
4335	3
1267	11
3298	11
1532	18
2142	16
2110	7
8006	5
1824	9
3040	11
1503	11
8095	6
8345	6
4029	9
1727	10
6902	3
7926	5
1736	10
3069	19
1187	7
3853	7
4904	2
3155	8
4772	8
1499	7
11183	3
2089	10
4378	8
6503	3
140	2
3302	15
9190	1
1589	13
29476	1
2330	10
2372	13
3821	6
6436	2
2698	9
4932	1
3350	16
1361	10
2523	11
2131	18
1575	12
7131	3
6892	3
774	6
2493	19
1975	11
2196	16
6010	4
1971	15
1355	17
3037	18
3366	18
2301	8
9973	1
5338	3
10315	1
4529	10
5242	6
3341	12
2519	19
4393	8
2286	9
507	3
3444	39
4389	8
2760	8
1221	12
5019	1
2785	8
7700	3
2022	11
6446	1
7712	2
1518	8
3579	5
2231	10
6415	2
7146	1
1467	9
3329	22
4076	10
1849	10
3437	18
8532	1
2102	15
8312	8
1637	26
3570	6
4155	9
2461	14
2061	13
3356	17
1183	10
8830	4
4440	7
1545	15
8325	2
4970	1
2833	10
4365	5
2642	8
868	7
4501	9
6506	2
3559	8
3499	7
6386	2
3417	20
4431	5
8009	6
2801	6
3216	9
2333	7
4968	5
2702	8
2661	4
2417	12
3491	4
3205	6
2847	9
1268	10
3071	11
1321	13
4201	8
3246	5
1077	9
4402	9
7522	5
2525	28
1725	11
1311	14
4252	5
3025	9
1521	10
992	8
8021	7
9524	1
2136	18
1293	23
3208	10
3758	7
1148	8
2226	14
1847	11
4533	16
8855	1
1342	20
7468	1
3187	7
1773	5
4180	10
2174	31
4116	8
2522	16
2633	8
3409	15
4977	6
1181	11
2242	20
2444	18
2769	8
4261	7
3096	17
4855	2
1597	15
3367	19
3593	6
8015	3
4187	8
3412	16
1173	9
3795	3
4015	3
5084	3
5063	3
3165	10
4197	12
731	6
4146	9
1465	11
2679	7
3009	9
6205	4
8038	4
5151	9
2574	7
1800	9
10500	2
3112	13
4113	4
2135	20
1340	12
3027	9
3168	12
3530	8
2491	18
1269	16
543	9
1578	17
4159	17
3075	11
1394	15
2275	7
1879	7
4296	8
3279	11
2165	25
8175	1
3047	17
7390	3
3066	11
1090	9
2296	12
1897	10
2233	17
1305	19
2983	16
9125	1
2211	8
2276	8
4325	6
2988	10
595	10
4744	6
1848	13
2600	12
6858	3
2126	7
3107	20
1332	13
4504	10
3355	14
6086	4
6055	5
3949	6
392	4
3651	12
4704	3
3008	10
3703	12
4473	10
3010	12
2881	51
8406	1
457	6
2225	11
3916	7
380	6
1479	8
7094	1
7400	2
3828	2
2219	13
8337	2
2588	6
7289	2
7375	1
1987	13
2843	9
4954	3
5340	1
2345	10
1876	6
6669	2
5977	1
5797	3
3238	9
3266	6
3378	14
3446	65
2531	53
2858	10
10049	1
2006	7
332	6
4391	5
623	5
2026	10
8369	126
1544	14
1757	12
3544	2
3171	16
3127	12
3103	11
8799	4
4750	4
2003	5
1412	8
7589	4
7968	3
1441	7
7245	1
6802	2
3013	13
884	10
4161	17
3293	6
3167	5
2462	22
7955	4
165	2
2277	16
2411	10
4518	14
2505	10
8567	3
3766	6
6683	6
2205	18
3119	14
7946	1
3661	47
3807	7
7967	6
4173	16
8011	3
4488	10
3255	9
2186	17
2250	20
1424	11
3803	3
3432	26
9197	2
